,City_ID,City,Country,Date,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed
1,1,Ambon,ID,2022-03-23 20:34:14,-3.6954,128.1814,79.36,81,100,12.73
3,3,Saldanha,ZA,2022-03-23 20:34:15,-33.0117,17.9442,68.05,88,31,18.61
8,8,Bambanglipuro,ID,2022-03-23 20:34:17,-7.95,110.2833,76.6,91,100,1.28
9,9,Paragominas,BR,2022-03-23 20:34:18,-2.9667,-47.4833,77.09,94,98,1.9
12,12,Galle,LK,2022-03-23 20:34:19,6.0367,80.217,79.95,78,37,7.54
14,14,Santo Antonio Do Ica,BR,2022-03-23 20:34:20,-3.1022,-67.9397,79.2,90,89,3.09
18,18,Atuona,PF,2022-03-23 20:34:21,-9.8,-139.0333,79.09,81,96,16.8
21,21,Kapaa,US,2022-03-23 20:34:23,22.0752,-159.319,77.32,78,75,16.11
26,26,Huarmey,PE,2022-03-23 20:34:25,-10.0681,-78.1522,74.5,74,33,11.79
27,27,Bredasdorp,ZA,2022-03-23 20:34:25,-34.5322,20.0403,69.26,77,84,4.14
29,29,Cuamba,MZ,2022-03-23 20:34:26,-14.8031,36.5372,67.6,97,2,2.64
30,30,Victoria Point,AU,2022-03-23 20:34:26,-27.5833,153.3,72.1,95,100,1.01
40,40,Isangel,VU,2022-03-23 20:34:30,-19.55,169.2667,79.27,85,100,4.03
44,44,Moree,AU,2022-03-23 20:34:32,-29.4667,149.85,71.62,68,47,11.5
46,46,Maamba,ZM,2022-03-23 20:34:32,-17.3667,27.15,67.39,85,7,3.76
47,47,Ixtapa,MX,2022-03-23 20:32:27,20.7,-105.2,78.03,41,0,10.36
48,48,Quelimane,MZ,2022-03-23 20:35:33,-17.8786,36.8883,78.75,83,20,3.44
51,51,Labuhan,ID,2022-03-23 20:35:34,-6.8844,112.2051,78.94,86,100,5.44
53,53,Tura,IN,2022-03-23 20:35:35,25.5198,90.2201,71.44,53,9,3.8
60,60,Antalaha,MG,2022-03-23 20:35:38,-14.9003,50.2788,75.81,91,24,6.04
61,61,Katobu,ID,2022-03-23 20:35:38,-4.9408,122.5276,74.23,95,83,2.26
62,62,Whitianga,NZ,2022-03-23 20:35:39,-36.8333,175.7,66.72,84,83,14.88
63,63,Lalmohan,BD,2022-03-23 20:35:39,22.3384,90.7419,78.75,86,14,11.1
64,64,Beira,MZ,2022-03-23 20:35:39,-19.8436,34.8389,77.09,88,20,5.75
70,70,Fallon,US,2022-03-23 20:30:50,39.4735,-118.7774,68.45,28,0,0.0
74,74,Hermanus,ZA,2022-03-23 20:35:43,-34.4187,19.2345,68.81,85,99,6.55
75,75,Jackson,US,2022-03-23 20:35:43,42.4165,-122.8345,73.15,51,0,4.0
79,79,Port Alfred,ZA,2022-03-23 20:35:35,-33.5906,26.891,73.51,75,100,8.97
81,81,Matara,LK,2022-03-23 20:35:45,5.9485,80.5353,77.2,85,11,6.42
87,87,Vaini,TO,2022-03-23 20:35:48,-21.2,-175.2,77.16,100,97,6.91
89,89,Hamilton,US,2022-03-23 20:33:50,39.1834,-84.5333,70.88,56,75,24.16
91,91,Alta Floresta,BR,2022-03-23 20:35:49,-9.8756,-56.0861,78.62,83,40,2.3
92,92,San Patricio,US,2022-03-23 20:35:50,28.017,-97.5169,75.29,21,0,6.96
93,93,Biak,ID,2022-03-23 20:35:50,-0.9131,122.8766,73.15,82,100,1.32
96,96,Lohardaga,IN,2022-03-23 20:36:51,23.4333,84.6833,71.35,12,17,4.5
99,99,Polonnaruwa,LK,2022-03-23 20:36:52,7.9333,81.0,74.95,92,73,5.35
103,103,Sunrise Manor,US,2022-03-23 20:36:54,36.2111,-115.0731,77.09,11,0,5.75
106,106,Honiara,SB,2022-03-23 20:36:56,-9.4333,159.95,79.2,85,90,2.04
107,107,Padang,ID,2022-03-23 20:36:56,-0.9492,100.3543,75.42,71,8,4.41
110,110,Angoche,MZ,2022-03-23 20:36:57,-16.2325,39.9086,76.21,93,17,7.74
111,111,Itarema,BR,2022-03-23 20:36:58,-2.9248,-39.9167,77.23,86,100,9.95
112,112,Dingle,PH,2022-03-23 20:36:58,10.9995,122.6711,75.94,85,5,5.66
121,121,Saint-Philippe,RE,2022-03-23 20:37:02,-21.3585,55.7679,76.59,84,50,11.59
122,122,Tawau,MY,2022-03-23 20:37:02,4.2498,117.8871,77.13,94,96,3.22
125,125,Piacabucu,BR,2022-03-23 20:33:46,-10.4056,-36.4344,79.79,75,64,8.88
129,129,Aguas Vermelhas,BR,2022-03-23 20:37:05,-15.7472,-41.46,73.08,67,100,4.59
130,130,Chuy,UY,2022-03-23 20:37:05,-33.6971,-53.4616,74.25,76,100,11.97
137,137,East London,ZA,2022-03-23 20:37:08,-33.0153,27.9116,72.64,76,100,5.35
139,139,Cam Ranh,VN,2022-03-23 20:37:09,11.9214,109.1591,76.96,100,20,1.14
142,142,Tancitaro,MX,2022-03-23 20:37:11,19.3333,-102.3667,69.82,8,19,7.45
143,143,Beloha,MG,2022-03-23 20:37:11,-25.1667,45.05,72.97,86,0,9.26
144,144,Flinders,AU,2022-03-23 20:38:12,-34.5833,150.8552,66.18,85,100,4.0
147,147,Mayumba,GA,2022-03-23 20:38:13,-3.432,10.6554,78.89,91,80,2.26
149,149,Cidreira,BR,2022-03-23 20:38:14,-30.1811,-50.2056,72.99,80,100,14.34
155,155,Dicabisagan,PH,2022-03-23 20:38:16,17.0818,122.4157,76.08,90,85,2.68
158,158,Castro,BR,2022-03-23 20:38:17,-24.7911,-50.0119,68.41,83,64,5.84
162,162,Banjar,ID,2022-03-23 20:38:19,-8.19,114.9675,78.35,93,99,1.99
166,166,Bengkulu,ID,2022-03-23 20:38:21,-3.8004,102.2655,74.97,84,87,3.78
169,169,Grand-Santi,GF,2022-03-23 20:38:22,4.25,-54.3833,75.13,98,94,3.98
170,170,Kui Buri,TH,2022-03-23 20:38:23,12.0828,99.8543,77.07,88,74,4.18
175,175,Najran,SA,2022-03-23 20:38:24,17.4924,44.1277,75.85,44,72,5.14
183,183,Bireun,ID,2022-03-23 20:38:28,5.203,96.7009,77.97,83,100,2.91
186,186,Alice Springs,AU,2022-03-23 20:38:29,-23.7,133.8833,69.35,32,68,5.75
187,187,Reserva,BR,2022-03-23 20:38:30,-24.6503,-50.8506,66.56,96,83,3.62
188,188,Kiunga,PG,2022-03-23 20:39:30,-6.1219,141.2906,72.27,99,95,2.44
194,194,Tezu,IN,2022-03-23 20:39:33,27.9167,96.1667,73.31,48,86,3.56
195,195,Mackay,AU,2022-03-23 20:39:33,-21.15,149.2,66.69,94,3,4.61
196,196,Cape Town,ZA,2022-03-23 20:36:01,-33.9258,18.4232,70.12,77,0,13.8
197,197,Daitari,IN,2022-03-23 20:39:34,21.1,85.75,70.41,96,44,1.36
201,201,Salalah,OM,2022-03-23 20:39:35,17.0151,54.0924,77.09,73,0,2.3
206,206,Necochea,AR,2022-03-23 20:39:37,-38.5473,-58.7368,72.01,69,58,17.38
211,211,Koumac,NC,2022-03-23 20:39:40,-20.5667,164.2833,79.21,77,100,3.78
212,212,Ormara,PK,2022-03-23 20:39:40,25.2088,64.6357,75.9,78,0,14.81
214,214,Richards Bay,ZA,2022-03-23 20:39:41,-28.783,32.0377,73.22,74,22,11.21
215,215,Yulara,AU,2022-03-23 20:39:42,-25.2406,130.9889,71.44,53,12,8.05
216,216,Ahipara,NZ,2022-03-23 20:39:42,-35.1667,173.1667,67.42,77,92,15.88
217,217,Tamiahua,MX,2022-03-23 20:39:42,21.2667,-97.45,71.08,52,92,16.91
218,218,Gamboma,CG,2022-03-23 20:39:43,-1.8764,15.8644,77.16,60,10,2.04
222,222,Vao,NC,2022-03-23 20:39:45,-22.6667,167.4833,77.09,64,33,12.97
223,223,Avera,US,2022-03-23 20:39:45,33.194,-82.5271,76.51,90,100,13.65
225,225,Minab,IR,2022-03-23 20:39:46,27.1467,57.0801,71.92,46,0,3.44
226,226,Mossendjo,CG,2022-03-23 20:39:46,-2.9506,12.7261,71.71,98,89,2.57
228,228,Farroupilha,BR,2022-03-23 20:39:47,-29.225,-51.3478,66.45,93,100,5.99
233,233,Sandusky,US,2022-03-23 20:36:59,41.3501,-83.1332,67.96,79,98,10.0
234,234,Saint George,US,2022-03-23 20:40:31,37.1041,-113.5841,72.63,14,0,3.44
235,235,Gossaigaon,IN,2022-03-23 20:40:49,26.4481,89.989,73.18,48,3,3.78
242,242,Ambilobe,MG,2022-03-23 20:40:52,-13.2,49.05,75.34,95,21,1.59
243,243,Tamandare,BR,2022-03-23 20:40:53,-8.7597,-35.1047,78.66,85,81,7.83
244,244,Mar Del Plata,AR,2022-03-23 20:40:53,-38.0023,-57.5575,69.82,96,40,20.0
252,252,Popondetta,PG,2022-03-23 20:40:56,-8.7537,148.2534,74.84,92,42,2.48
256,256,Aketi,CD,2022-03-23 20:40:58,2.7388,23.7833,75.25,69,90,2.13
257,257,Ternate,ID,2022-03-23 20:40:59,0.8,127.4,78.08,81,100,8.46
259,259,Hilo,US,2022-03-23 20:41:00,19.7297,-155.09,78.53,73,75,5.75
264,264,Ca Mau,VN,2022-03-23 20:41:01,9.1769,105.15,78.6,85,23,3.71
266,266,Carnarvon,AU,2022-03-23 20:41:02,-24.8667,113.6333,78.87,73,98,9.22
