,City_ID,City,Country,Date,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed
276,276,Miri,MY,2022-03-23 20:41:06,4.4148,114.0089,75.34,94,40,0.0
284,284,Riyadh,SA,2022-03-23 20:42:08,24.6877,46.7219,73.54,13,28,5.06
287,287,Casino,AU,2022-03-23 20:42:11,-28.8667,153.05,71.56,94,100,0.0
293,293,Sibu,MY,2022-03-23 20:42:14,2.3,111.8167,77.31,94,20,0.0
295,295,Namibe,AO,2022-03-23 20:42:15,-15.1961,12.1522,75.52,82,98,4.85
296,296,Hambantota,LK,2022-03-23 20:42:16,6.1241,81.1185,78.78,81,49,9.13
297,297,San Rafael,AR,2022-03-23 20:40:35,-34.6177,-68.3301,66.29,33,2,23.8
301,301,Pacific Grove,US,2022-03-23 20:42:17,36.6177,-121.9166,74.39,80,40,11.99
302,302,Pouebo,NC,2022-03-23 20:42:18,-20.4,164.5667,78.82,80,98,8.55
303,303,San Quintin,MX,2022-03-23 20:42:19,30.4833,-115.95,72.86,42,0,11.88
306,306,Adrar,MR,2022-03-23 20:42:20,20.5022,-10.0711,79.99,11,0,8.34
307,307,Port Elizabeth,ZA,2022-03-23 20:41:01,-33.918,25.5701,67.1,94,75,12.66
308,308,Port Blair,IN,2022-03-23 20:42:20,11.6667,92.75,77.04,94,40,1.14
310,310,Weligama,LK,2022-03-23 20:42:21,5.9667,80.4167,77.88,83,19,6.6
312,312,Sao Jose Da Coroa Grande,BR,2022-03-23 20:42:22,-8.8978,-35.1478,78.8,85,78,9.08
316,316,Carutapera,BR,2022-03-23 20:42:24,-1.195,-46.02,78.24,87,88,7.23
318,318,Simpang,ID,2022-03-23 20:42:25,-1.2667,104.0833,76.39,93,71,1.16
324,324,Waingapu,ID,2022-03-23 20:43:27,-9.6567,120.2641,77.79,82,100,4.18
326,326,Nanyamba,TZ,2022-03-23 20:43:28,-10.6833,39.8333,71.78,99,99,2.98
327,327,La Asuncion,VE,2022-03-23 20:43:28,11.0333,-63.8628,78.69,75,6,21.25
334,334,Pangai,TO,2022-03-23 20:43:31,-19.8,-174.35,78.91,83,75,6.91
335,335,Merauke,ID,2022-03-23 20:43:31,-8.4667,140.3333,77.41,87,99,5.57
336,336,Saint-Pierre,RE,2022-03-23 20:43:32,-21.3393,55.4781,77.92,83,0,4.61
338,338,Imbituba,BR,2022-03-23 20:43:33,-28.24,-48.6703,73.81,84,100,16.73
339,339,Sembakung,ID,2022-03-23 20:43:33,3.8167,117.25,72.88,99,100,1.25
